ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
2	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
3	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
4	1	4	3	0.000000	5.000000	5.000000	0.000000	0.000000	0	3	0
5	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6	1	3	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	1	0
7	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
8	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
9	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
10	1	3	3	0.000000	4.000000	4.000000	0.000000	0.000000	0	1	0
11	1	3	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
12	1	3	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	1	0
13	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
14	0	5	4	Inf	Inf	Inf	Inf	Inf	0	8	0
15	1	5	3	0.000000	18.000000	7.000000	0.000000	0.000000	0	5	0
16	1	4	3	0.000000	10.000000	3.000000	0.000000	0.000000	0	5	0
17	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
18	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
19	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
20	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
21	1	2	3	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
22	1	3	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	3	0
23	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
24	1	3	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	1	0
25	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
26	0	3	3	Inf	Inf	Inf	Inf	Inf	0	7	0
27	0	3	3	Inf	Inf	Inf	Inf	Inf	0	7	0
28	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
29	1	3	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	2	0
30	1	3	4	0.000000	6.000000	6.000000	0.000000	0.000000	0	2	0
31	1	2	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	2	0
32	1	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
33	1	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
34	0	2	2	Inf	Inf	Inf	Inf	Inf	0	7	0
35	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
36	1	2	4	0.000000	4.000000	4.000000	0.000000	0.000000	0	3	0
37	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
38	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
39	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	3	0
40	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
41	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
42	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
43	2	3	4	0.000000	4.000000	4.000000	0.000000	0.000000	0	2	0
44	1	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
45	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
46	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	3	0
47	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
48	2	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
49	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
50	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
51	1	3	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
52	1	3	4	0.000000	7.000000	7.000000	0.000000	0.000000	0	7	0
53	1	4	3	0.000000	9.000000	3.000000	0.000000	0.000000	0	7	0
54	1	6	4	0.000000	25.000000	3.000000	0.000000	0.000000	0	6	0
55	1	2	1	0.000000	6.000000	2.000000	0.000000	0.000000	0	2	0
56	1	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
57	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
58	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
59	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
60	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	3	0
61	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	1	0
62	1	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	2	0
63	1	2	2	0.000000	30.000000	9.000000	0.000000	0.000000	0	3	0
64	1	1	1	0.000000	20.000000	7.000000	0.000000	0.000000	0	3	0
65	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
66	1	3	3	0.000000	5.000000	5.000000	0.000000	0.000000	0	2	0
67	1	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
68	1	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
69	1	3	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
70	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
71	0	3	4	Inf	Inf	Inf	Inf	Inf	0	7	0
72	1	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	1	0
73	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
74	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
75	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
76	0	3	3	Inf	Inf	Inf	Inf	Inf	0	3	0
77	0	2	1	Inf	Inf	Inf	Inf	Inf	0	3	0
78	0	2	1	Inf	Inf	Inf	Inf	Inf	0	2	0
79	1	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
80	1	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
